id,name,birthdate,deathdate
1,50 Cent,7/6/1975,
2,A. Michael Baldwin,4/4/1963,
3,A. Raven Cruz,,
4,A.J. Buckley,2/9/1978,
5,A.J. DeLucia,,
6,A.J. Langer,5/22/1974,
7,Aaliyah,1/16/1979,8/25/2001
8,Aaron Ashmore,10/7/1979,
9,Aaron Hann,,
10,Aaron Hill,4/23/1983,
11,Aaron Hughes,,
12,Aaron Kwok,10/26/1965,
13,Aaron Schneider,,
14,Aaron Seltzer,1/12/1974,
15,Aaron Stanford,12/27/1976,
16,Aaron Staton,,
17,Aaron Yoo,5/12/1979,
18,Aasheekaa Bathija,,
19,Aasif Mandvi,3/5/1966,
20,Abbie Cornish,8/7/1982,
21,Abby Elliott,6/16/1987,
22,Abby Mukiibi Nkaaga,,
23,Abel Ferrara,7/19/1951,
24,Abhishek Bachchan,2/5/1976,
25,Abigail Evans,,
26,Abigail Spencer,8/4/1981,
27,Abraham Benrubi,10/4/1969,
28,Ace Marrero,7/28/1982,
29,Adam Alexi-Malle,9/24/1964,
30,Adam Arkin,8/19/1956,
31,Adam Baldwin,2/27/1962,
32,Adam Boyer,,
33,Adam Brooks,9/3/1956,
34,Adam Brown,,
35,Adam Butcher,10/20/1988,
36,Adam Carolla,5/27/1964,
37,Adam Copeland,10/30/1973,
38,Adam DiMarco,4/14/1990,
39,Adam Garcia,6/1/1973,
40,Adam Goldberg,10/25/1970,
41,Adam Green,3/31/1975,
42,Adam Hicks,11/28/1992,
43,Adam Jay Epstein,,
44,Adam Lamberg,9/14/1984,
45,Adam LeFevre,8/11/1950,
46,Adam Marcus,,
47,Adam McKay,4/17/1968,
48,Adam Rapp,6/15/1968,
49,Adam Ratcliffe,,
50,Adam Rayner,,
51,Adam Rifkin,12/31/1966,
52,Adam Sandler,9/9/1966,
53,Adam Scott,4/3/1973,
54,Adam Shankman,11/27/1964,
55,Adam Trese,1/4/1969,
56,Adel Karam,,
57,Adelaide Kane,8/9/1990,
58,Aden Young,,
59,Adhir Kalyan,8/4/1983,
60,Aditya Roy Kapoor,11/16/1985,
61,Adolphe Menjou,1890-02-18,10/29/1963
62,Adrian Alonso,4/6/1994,
63,Adrian Gonzalez,5/8/1938,10/23/1998
64,Adrian Holmes,3/31/1974,
65,Adrian Lester,8/14/1968,
66,Adrian Lyne,3/4/1941,
67,Adrian Martinez,,
68,Adrian Pasdar,4/30/1965,
69,Adrian Paul,5/29/1959,
70,Adriana Barraza,3/5/1956,
71,Adriana Caselotti,5/16/1916,1/19/1997
72,Adriane Lenox,9/11/1956,
73,Adriano Giannini,5/10/1971,
74,Adrien Dorval,3/22/1963,
75,Adrienne Barbeau,6/11/1945,
76,Adrienne Frantz,6/7/1978,
77,Adrienne King,7/21/1955,
78,Adrienne Pickering,2/22/1981,
79,Adrienne Shelly,6/24/1966,11/1/2006
80,Agame Malembo-Emene,,
